date,tweetcount,closelast,volume,open,high,low,sell,buy,iraneventcount,alleventcount,covidtrend,irantrend,new_cases,cumulative_cases,new_deaths,cumulative_deaths,globalnew_cases,globalcumulative_cases,global_new_deaths,global_cumulative_deaths,tweetscovidnofarsi,tweetsnofarsi,tweetsenglish,tweetscovid,iranprotest,iranmatconf,year,month,day,statadate,irneventpr,newcasepr,cumcasepr,newdeathpr,cumdeathpr
2020-02-05,637,55.279999,54972,53.880001,56.470001,53.880001,13700,13600,56,1899,0,4,0,0,0,0,3929,24634,72,564,6,385,128,6,0,0,2020,2,5,05feb2020,.029489204,0,0,0,0
2020-02-06,992,54.93,49497,55.57,56.560001,54.240002,13720,13620,27,2013,0,4,0,0,0,0,3725,28359,70,634,3,715,74,3,0,1,2020,2,6,06feb2020,.013412816,0,0,0,0
2020-02-07,355,54.470001,43021,55.360001,55.470001,54.209999,13720,13620,31,2091,0,4,0,0,0,0,3204,31563,85,719,9,271,88,9,1,1,2020,2,7,07feb2020,.014825443,0,0,0,0
2020-02-08,511,54.470001,43021,55.360001,55.470001,54.209999,13800,13700,13,1247,0,4,0,0,0,0,3406,34969,87,806,11,407,230,11,0,0,2020,2,8,08feb2020,.01042502,0,0,0,0
2020-02-09,598,54.470001,43021,55.360001,55.470001,54.209999,13970,13870,10,1019,1,3,0,0,0,0,2668,37637,100,906,10,421,216,10,1,0,2020,2,9,09feb2020,.0098135425,0,0,0,0
2020-02-10,515,53.27,35455,54.240002,54.700001,53.110001,14000,13900,39,1641,1,3,0,0,0,0,3061,40698,107,1013,24,436,214,24,0,0,2020,2,10,10feb2020,.023765996,0,0,0,0
2020-02-11,611,54.009998,35703,53.349998,54.66,53.349998,14000,13900,38,2005,1,3,0,0,0,0,2485,43183,100,1113,2,503,255,2,0,0,2020,2,11,11feb2020,.018952619,0,0,0,0
2020-02-12,433,55.790001,42664,54.18,56.299999,54.18,14050,13950,37,1873,1,3,0,0,0,0,2073,45256,5,1118,4,337,85,4,0,0,2020,2,12,12feb2020,.019754404,0,0,0,0
2020-02-13,350,56.34,48127,56.34,56.830002,54.970001,13970,13870,49,1963,1,3,0,0,0,0,15202,60458,254,1372,8,280,105,8,0,1,2020,2,13,13feb2020,.024961794,0,0,0,0
2020-02-14,362,57.32,40762,56.400002,57.529999,56.16,13970,13870,37,1906,1,3,0,0,0,0,4074,64532,152,1524,5,215,47,5,0,1,2020,2,14,14feb2020,.019412382,0,0,0,0
2020-02-15,773,57.32,40762,56.400002,57.529999,56.16,14130,14030,37,1356,1,3,0,0,0,0,2726,67258,143,1667,7,469,183,7,0,0,2020,2,15,15feb2020,.027286137,0,0,0,0
2020-02-16,284,57.32,40762,56.400002,57.529999,56.16,14200,14100,66,1131,2,4,0,0,0,0,2108,69366,104,1771,7,217,101,7,0,0,2020,2,16,16feb2020,.058355439,0,0,0,0
2020-02-17,507,57.32,40762,56.400002,57.529999,56.16,14360,14260,61,1656,2,4,0,0,0,0,2160,71526,98,1869,10,380,202,10,0,1,2020,2,17,17feb2020,.036835749,0,0,0,0
2020-02-18,1104,57.75,46485,57.540001,57.82,56.290001,14400,14300,47,1974,2,4,0,0,0,0,1996,73522,139,2008,13,752,184,13,0,0,2020,2,18,18feb2020,.023809524,0,0,0,0
2020-02-19,519,59.119999,35452,57.700001,59.41,57.540001,14400,14300,47,2037,2,4,6,6,0,0,1887,75409,113,2121,9,449,208,9,0,0,2020,2,19,19feb2020,.023073146,.0031796503,.000079566096,0,0
2020-02-20,377,59.310001,32650,59.34,60.02,58.900002,14450,14350,35,2211,2,4,3,9,2,2,420,75829,127,2248,5,261,129,5,0,0,2020,2,20,20feb2020,.015829941,.0071428572,.0001186881,.015748031,.00088967971
2020-02-21,380,58.5,35606,59.16,59.27,57.740002,14450,14350,50,2012,2,4,13,22,0,2,1022,76851,0,2248,4,257,62,4,0,0,2020,2,21,21feb2020,.024850894,.012720156,.00028626824,0,.00088967971
2020-02-22,368,58.5,35606,59.16,59.27,57.740002,15520,15420,18,1300,2,4,10,32,2,4,1063,77914,209,2457,8,286,128,8,0,0,2020,2,22,22feb2020,.013846153,.0094073378,.00041070924,.0095693776,.0016280017
2020-02-23,420,58.5,35606,59.16,59.27,57.740002,15400,15300,36,1197,5,7,15,47,1,5,1035,78949,5,2462,14,312,123,15,1,1,2020,2,23,23feb2020,.030075189,.014492754,.00059532101,.2,.0020308692
2020-02-24,522,56.299999,26796,58.02,56.360001,56,15650,15550,52,2214,5,7,4,51,3,8,530,79479,158,2620,26,353,178,26,0,0,2020,2,24,24feb2020,.023486901,.0075471699,.00064167893,.018987341,.0030534351
2020-02-25,349,54.950001,25874,55.139999,55.18,54.610001,15850,15750,54,2524,5,7,48,99,4,12,830,80309,80,2700,24,265,92,24,0,1,2020,2,25,25feb2020,.021394612,.057831325,.0012327385,.050000001,.0044444446
2020-02-26,418,53.43,25129,55.080002,53.439999,53.34,15920,15820,32,2090,5,7,44,143,3,15,872,81181,64,2764,36,299,122,36,0,1,2020,2,26,26feb2020,.015311005,.050458714,.001761496,.046875,.0054269177
2020-02-27,396,52.18,7441,52.790001,53.119999,51.049999,15800,15700,27,1999,5,7,0,143,7,22,1076,82257,41,2805,53,286,91,53,0,0,2020,2,27,27feb2020,.013506753,0,.0017384539,.17073171,.0078431377
2020-02-28,158,50.52,1149,51.369999,51.490002,50.119999,15800,15700,32,2220,5,7,249,392,12,34,1392,83649,63,2868,18,140,35,18,0,0,2020,2,28,28feb2020,.014414415,.17887931,.0046862485,.19047619,.011854951
2020-02-29,340,50.52,1149,51.369999,51.490002,50.119999,15100,15000,64,1502,5,7,0,392,9,43,1726,85375,67,2935,35,303,136,35,0,1,2020,2,29,29feb2020,.042609852,0,.0045915078,.13432837,.014650767
2020-03-01,776,50.52,1149,51.369999,51.490002,50.119999,15600,15500,29,1125,9,6,205,597,0,43,1839,87214,47,2982,52,750,225,52,0,0,2020,3,1,01mar2020,.025777778,.11147363,.0068452312,0,.014419853
2020-03-02,395,51.900002,46064,49.040001,52.779999,48.380001,15480,15380,18,1873,9,6,0,597,11,54,1693,88907,66,3048,60,365,157,60,0,0,2020,3,2,02mar2020,.0096102506,0,.0067148819,.16666667,.017716536
2020-03-03,338,51.860001,41465,52.98,53.869999,51.240002,15400,15300,56,1969,9,6,908,1505,23,77,2314,91221,79,3127,40,285,133,41,0,1,2020,3,3,03mar2020,.028440833,.39239413,.016498394,.29113925,.02462424
2020-03-04,437,51.130001,39131,51.73,53.029999,51.040001,15470,15370,64,1829,9,6,1421,2926,15,92,2925,94146,91,3218,41,325,203,41,1,1,2020,3,4,04mar2020,.034991797,.48581198,.031079387,.16483517,.028589185
2020-03-05,299,49.990002,38582,51.959999,52.009998,49.700001,15350,15250,42,1963,9,6,591,3517,15,107,2401,96547,84,3302,30,211,100,30,0,0,2020,3,5,05mar2020,.021395823,.24614744,.036427855,.17857143,.032404602
